Reporting_Pop,Range_ID,Herd_ID,Year_END,Recruitment_Mean,Recruitment_SD,Recruitment_LCL95,Recruitment_UCL95,Survival_Mean,Survival_SD,Survival_LCL95,Survival_UCL95,Lambda_Mean,Lambda_SD,Lambda_LCL95,Lambda_UCL95,DemoMethod,LastUpdated,UpdatedBy,Treatment,KM_mean,KM_se,CollarsStartofYear,CSTotGroups,CSTotCollars,CSTotCaribou,CSTotCows,CSTotBulls,CSTotCalves,Comments
A La Peche,9,23,2019,0.187,0.025,0.136,0.235,0.857,0.059,0.725,0.952,1.056,0.08,0.883,1.194,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.857142857,0.059148477,35,22,23,91,39.3,33.7,18,
A La Peche,9,23,2020,0.189,0.023,0.144,0.233,0.91,0.05,0.792,0.981,1.124,0.069,0.968,1.24,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.909979561,0.049585188,34,17,29,87,46.6,18.4,22,
A La Peche,9,23,2021,0.195,0.026,0.143,0.244,0.882,0.065,0.726,0.976,1.098,0.088,0.9,1.242,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.882032668,0.065283855,30,14,22,70,36.55,15.45,18,
Narraway,9,21,2003,,,,,0.644695423,0.263766984,0.099664014,0.99111361,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.642857143,0.210424394,8,,,,,,,
Narraway,9,21,2004,,,,,0.887731449,0.11010886,0.596629903,0.998488169,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.888888889,0.10475656,9,,,,,,,
Narraway,9,21,2005,,,,,0.832061931,0.168705729,0.402099539,0.999013981,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.833333333,0.152145155,6,,,,,,,
Narraway,9,21,2006,0.065518659,0.03122499,0.023844689,0.142680593,0.889321087,0.109751688,0.596537129,0.998723755,0.950971962,0.125619565,0.623001216,1.112262586,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.888888889,0.10475656,8,6,6,40,28.1,7.9,4,
Narraway,9,21,2007,0.08104043,0.012124356,0.059851742,0.107323782,0.954389738,0.045099612,0.831562217,0.998979498,1.038114767,0.052027079,0.902300846,1.102217026,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.956521739,0.042522578,8,12,20,87,56.75,20.25,10,
Narraway,9,21,2008,0.014201232,0.008306624,0.004052522,0.034490539,0.950880737,0.04907532,0.82397955,0.999111938,0.96402479,0.05135204,0.824475834,1.020484205,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.952380952,0.046471432,22,16,23,102,68.85,31.15,2,
Narraway,9,21,2009,0.092380541,0.018920888,0.060890907,0.134901143,0.843670515,0.078375404,0.661269612,0.962692703,0.930296663,0.087619684,0.728718052,1.067720033,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.850666667,0.069129272,25,23,24,86,53.7,21.3,11,
Narraway,9,21,2010,0.095391503,0.018027756,0.064188947,0.134073373,0.892402816,0.062096353,0.745228942,0.978854078,0.987942496,0.070930635,0.823649933,1.09811695,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.896551724,0.056552304,29,19,20,91,70.9,5.1,15,
Narraway,9,21,2011,0.068497543,0.018248288,0.038615965,0.110318909,0.846461636,0.07535845,0.678235246,0.961435994,0.908716806,0.084877824,0.716402331,1.04088221,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.853448276,0.067966625,24,16,25,97,67.75,19.25,10,
Narraway,9,21,2012,0.044438459,0.018083141,0.018522056,0.087484968,0.782119606,0.0887554,0.58407267,0.926475754,0.820362225,0.093234157,0.618878118,0.976939326,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.790123457,0.076029665,27,18,22,55,42.6,8.4,4,
Narraway,9,21,2013,0.05659912,0.021863211,0.024629248,0.109056715,0.811605774,0.08534077,0.618358887,0.947009936,0.858740271,0.092984413,0.650501394,1.008798098,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.803571429,0.078963251,24,11,26,50,41.2,3.8,5,
Narraway,9,21,2014,0.044781236,0.018788294,0.018585414,0.089994646,0.760654953,0.097494041,0.541412094,0.920243315,0.796300103,0.103759139,0.570741526,0.969916908,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.761217949,0.085118239,26,7,15,59,42,13,4,
Narraway,9,21,2015,0.049471948,0.021330729,0.020022582,0.101213212,0.609929669,0.146926053,0.31360781,0.871944469,0.644841683,0.155285505,0.324547514,0.920464836,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.611111111,0.114904386,15,6,15,40,28.3,8.7,3,
Narraway,9,21,2016,0.11,0.033,0.05,0.179,0.866,0.088,0.656,0.984,0.975,0.105,0.731,1.141,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,0.866666667,0.087770745,15,9,13,35,22.3,7.7,5,
Narraway,9,21,2017,0.126,0.04,0.053,0.208,0.878,0.082,0.677,0.986,1.007,0.105,0.766,1.184,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,0.878431373,0.080693259,17,5,10,23,15.25,3.75,4,
Narraway,9,21,2018,0.105,0.036,0.042,0.178,0.983,0.025,0.91,1,1.1,0.053,0.997,1.205,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,1,0,15,5,14,26,18.6,3.4,4,
Narraway,9,21,2019,0.102,0.032,0.044,0.168,0.918,0.079,0.706,0.998,1.023,0.096,0.782,1.163,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,0.916666667,0.079785592,16,4,11,38,24.3,8.7,5,
Narraway,9,21,2020,0.243,0.033,0.17,0.298,0.917,0.08,0.701,0.998,1.213,0.118,0.916,1.384,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,0.916666667,0.079785592,12,4,5,35,14.6,10.4,10,
Narraway,9,21,2021,0.166,0.028,0.11,0.219,0.857,0.094,0.632,0.983,1.029,0.118,0.75,1.207,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control on Winter range,0.855555556,0.095030859,15,10,15,71,32.65,25.35,13,
Redrock/Prairie Creek,9,22,1995,,,,,0.912272746,0.062044138,0.754827399,0.991367773,0.912455914,0.061590162,0.760383251,0.991231563,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.913043478,0.058753385,18,7,7,76,51.85,24.15,0,
Redrock/Prairie Creek,9,22,1996,,,,,0.904828824,0.067275263,0.73551718,0.990973244,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.904761905,0.064056448,21,,,,,,,
Redrock/Prairie Creek,9,22,1997,,,,,1,0,1,1,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,1,0,19,,,,,,,
Redrock/Prairie Creek,9,22,1998,,,,,1,0,1,1,,,,,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,1,0,18,,,,,,,
Redrock/Prairie Creek,9,22,1999,0.108234035,0.032584137,0.056574423,0.183711993,0.909475568,0.070976567,0.730384267,0.993999662,1.020504621,0.088660341,0.811867859,1.166465156,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.909401709,0.067053615,15,,,,,,,
Redrock/Prairie Creek,9,22,2000,0.114523185,0.024207437,0.072560279,0.169374278,0.89958996,0.049692132,0.782683427,0.973762618,1.018838875,0.063104865,0.876592285,1.131180135,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.900985634,0.047049533,38,,,,,,,
Redrock/Prairie Creek,9,22,2002,0.096696384,0.015556349,0.069292253,0.129917653,1,0,1,1,1.107436176,0.019390719,1.074497228,1.15061919,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,1,0,37,,,,,,,
Redrock/Prairie Creek,9,22,2003,0.102044841,0.015524175,0.074250672,0.135107451,0.830917553,0.06309622,0.689149154,0.936004865,0.926215591,0.073589728,0.763453254,1.051173938,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.827702703,0.059201462,40,,,,,,,
Redrock/Prairie Creek,9,22,2004,0.062518657,0.010677078,0.043344716,0.085003625,0.942781478,0.040427379,0.843031132,0.993769526,1.005956965,0.044388343,0.897945694,1.069037328,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.941176471,0.040352608,34,16,22,98,67.5,21.5,9,
Redrock/Prairie Creek,9,22,2005,0.103098719,0.021447611,0.066747053,0.150459901,0.622622624,0.103817311,0.412409687,0.808710919,0.695309061,0.118144492,0.454884557,0.915102841,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.610812013,0.083843661,29,11,15,68,42.95,15.05,10,
Redrock/Prairie Creek,9,22,2006,0.083313163,0.019442222,0.051094496,0.12593444,0.851821672,0.074367533,0.680488567,0.96567416,0.931668958,0.084439197,0.739689128,1.064460738,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.846984127,0.070907488,24,16,22,109,76.55,18.45,14,
Redrock/Prairie Creek,9,22,2007,0.032226665,0.010246951,0.01650005,0.055786191,0.729851412,0.103297938,0.500894177,0.904248043,0.754268894,0.105396997,0.528684977,0.936356863,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.717897727,0.090126887,24,13,18,91,60.05,26.95,4,
Redrock/Prairie Creek,9,22,2008,0.067304939,0.017378147,0.039001145,0.106428112,0.835003439,0.096119556,0.607170535,0.973460466,0.895305777,0.103086027,0.657089852,1.049343565,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.825910931,0.092716391,19,14,20,79,55.4,15.6,8,
Redrock/Prairie Creek,9,22,2009,0.101193723,0.022248595,0.063374041,0.149929367,0.848011143,0.076961386,0.669306815,0.965221279,0.945553733,0.086795639,0.751579994,1.085004155,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.842809365,0.072235769,23,17,24,141,83.85,38.15,19,
Redrock/Prairie Creek,9,22,2010,0.089957626,0.017117243,0.060867539,0.127910149,0.796477082,0.09177978,0.584092874,0.942068296,0.873848572,0.101147738,0.650530627,1.038333797,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.7875,0.084479102,24,19,23,113,85.65,10.35,17,
Redrock/Prairie Creek,9,22,2011,0.089586058,0.011445523,0.069416596,0.113892536,0.84488705,0.076950114,0.663745613,0.962253393,0.92805407,0.085765343,0.732462141,1.05949656,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.838095238,0.074186805,21,17,23,132,86.1,28.9,17,
Redrock/Prairie Creek,9,22,2012,0.081379831,0.016,0.05432474,0.116722062,0.688806707,0.119348946,0.439638771,0.893390437,0.748454251,0.129220505,0.468937101,0.971718202,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.687830688,0.098415377,21,13,26,135,95.7,22.3,17,
Redrock/Prairie Creek,9,22,2013,0.085114858,0.017464249,0.056616678,0.122838982,0.915670946,0.04909999,0.796715654,0.983318646,0.999436329,0.057338765,0.8673079,1.089942635,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.917280917,0.045784827,37,20,26,112,75.1,22.9,14,
Redrock/Prairie Creek,9,22,2014,0.088292431,0.012922848,0.065415063,0.115962339,0.518391849,0.126373763,0.272493835,0.757695099,0.568513009,0.137101495,0.29942688,0.830328582,Hervieux et al. 2013,4/15/2021 0:00,AF CS,No wolf control,0.517429194,0.090042964,32,9,15,106,72.3,19.7,14,
Redrock/Prairie Creek,9,22,2015,0.078382739,0.011575837,0.057793561,0.103614002,0.76530454,0.106568114,0.531375691,0.936440886,0.831181347,0.115253607,0.568785691,1.017078545,Hervieux et al. 2013,4/15/2021 0:00,AF CS,Wolf control winter and partial summer range,0.769040248,0.091788021,19,19,23,91,64.55,15.45,11,
Redrock/Prairie Creek,9,22,2016,0.116,0.021,0.077,0.158,0.774,0.089,0.581,0.92,0.876,0.103,0.654,1.049,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.774327122,0.088898576,23,11,15,112,66.15,28.85,17,
Redrock/Prairie Creek,9,22,2017,0.078,0.02,0.041,0.121,0.799,0.081,0.617,0.93,0.867,0.09,0.667,1.015,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.799278846,0.080415641,26,10,27,96,57.2,29.8,9,
Redrock/Prairie Creek,9,22,2018,0.17,0.025,0.12,0.218,0.8,0.073,0.637,0.922,0.965,0.093,0.763,1.127,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.8,0.073029674,30,13,27,87,43.65,25.35,18,
Redrock/Prairie Creek,9,22,2019,0.156,0.022,0.114,0.198,0.892,0.059,0.751,0.977,1.058,0.075,0.887,1.179,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.891428571,0.059224138,28,13,25,99,60,17,22,
Redrock/Prairie Creek,9,22,2020,0.142,0.025,0.094,0.189,0.984,0.023,0.917,1,1.147,0.043,1.055,1.223,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,1,0,31,13,30,77,45.95,16.05,15,
Redrock/Prairie Creek,9,22,2021,0.131,0.018,0.095,0.168,0.87,0.07,0.707,0.972,1.002,0.084,0.81,1.133,Eacker et al. 2019,7/22/2021,BN CS AF,Wolf control winter and summer range,0.871212121,0.069462703,27,10,32,131,84.3,21.7,25,
