Entered by?,"Animal ID (RS, CL)",Animal ID,WLHID,"Herd (RS, CL)",Herd,"Sex (F, M)",Age.when.collard,Date entry,Date exit,Suspected Mortality Date,Outcome,Cause,mortality.loc.easting,mortality.loc.northing,Comment,MonitoringDays,,
MJF from AMRoberts,TWC1062,TWC1062,20-1355,Tweedsmuir,Tweedsmuir,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,Still alive,41,,
MJF from AMRoberts,TWC1063,TWC1063,20-1357,Tweedsmuir,Tweedsmuir,F,Adult,2021/02/18,2021/03/31,NA,Alive,NA,,,Still alive,41,,
Carolyn Shores,106,106,20-3389,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/17,2021/03/31,NA,Alive,NA,,,,42,,
Carolyn Shores,107,107,20-3386,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/17,2021/03/31,NA,Alive,NA,,,,42,,
Carolyn Shores,113,113,20-1401,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,103,103,20-1410,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,112,112,20-1412,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,105,105,20-1418,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,102,102,20-1421,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,101,101,20-1422,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,114,114,20-1433,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/31,NA,Alive,NA,,,,43,,
Carolyn Shores,104,104,20-1415,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/16,2021/03/24,2021/03/24,Mortality,Cougar,,,,36,,
Carolyn Shores,94,94,20-1398,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,99,99,20-1406,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,96,96,20-1413,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,93,93,20-1417,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,95,95,20-1429,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,97,97,20-1431,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,100,100,20-3391,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,98,98,20-3391,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/15,2021/03/31,NA,Alive,NA,,,,44,,
Carolyn Shores,92,92,20-1403,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,90,90,20-1409,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,84,84,20-1420,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,86,86,20-1423,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,87,87,20-1424,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,85,85,20-1430,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,89,89,20-1432,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,88,88,20-1416,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,91,91,20-1405,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/14,2021/03/31,NA,Alive,NA,,,,45,,
Carolyn Shores,83,83,20-1391,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/11,2021/03/31,NA,Alive,NA,,,,48,,
Carolyn Shores,82,82,20-1407,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/11,2021/03/31,NA,Alive,NA,,,,48,,
Carolyn Shores,80,80,20-1389,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/09,2021/03/31,NA,Alive,NA,,,,50,,
Carolyn Shores,81,81,20-1428,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2021/02/09,2021/03/31,NA,Alive,NA,,,,50,,
,21,NA,18-13990,Quintette,Quintette,F,Adult,2021/02/01,2021/03/31,NA,Alive,NA,,,BM: Seems to be a recapture,58,,
,29,NA,20-1991,Quintette,Quintette,F,Adult,2021/02/01,2021/03/31,NA,Alive,NA,,,,58,,
,31,NA,20-1997,Quintette,Quintette,F,Adult,2021/02/01,2021/03/31,NA,Alive,NA,,,,58,,
BM via ?,ANTLERLESS 20.77,ANTLERLESS 20.77,20-1993,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,CLEAN 20.093,CLEAN 20.093,20-2005,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,DOLLY 20.066,DOLLY 20.066,20-1998,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,FORK 20.018,FORK 20.018,20-2003,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,MIRROR 20.069,MIRROR 20.069,20-1996,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,PACKER 20.057,PACKER 20.057,20-2001,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
BM via ?,WRINKLE 20.056,WRINKLE 20.056,20-1999,Kennedy Siding,Kennedy Siding,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
,30,NA,20-1994,Quintette,Quintette,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
,32,NA,20-2002,Quintette,Quintette,F,Adult,2021/01/27,2021/03/31,NA,Alive,NA,,,,63,,
Klaczek,22,NA,20-1329,Hart South,Hart South,F,Adult,2021/01/25,2021/03/31,NA,Alive,NA,,,,65,,
Klaczek,23,NA,20-1333,Hart South,Hart South,F ,Adult,2021/01/25,2021/03/31,NA,Alive,NA,,,,65,,
Klaczek,19,NA,20-1332,Hart North,Parsnip,F,Adult,2021/01/24,2021/03/31,NA,Alive,NA,,,,66,,
Klaczek,20,NA,20-1334,Hart North,Parsnip,F,Adult,2021/01/24,2021/03/31,NA,Alive,NA,,,,66,,
Klaczek,21,NA,20-1338,Hart North,Parsnip,F,Adult,2021/01/24,2021/03/31,NA,Alive,NA,,,,66,,
Klaczek,22,NA,20-1342,Hart North,Parsnip,F,Adult,2021/01/23,2021/03/31,NA,Alive,NA,,,,67,,
Klaczek,24,NA,20-1337,Hart South,Hart South,F,Adult,2021/01/22,2021/03/31,NA,Alive,NA,,,,68,,
Klaczek,25,NA,20-1339,Hart South,Hart South,F,Adult,2021/01/22,2021/03/31,NA,Alive,NA,,,,68,,
Klaczek,26,NA,20-1341,Hart South,Hart South,F,Adult,2021/01/22,2021/03/31,NA,Alive,NA,,,,68,,
LGreene,TC088,TC088,20-1364,Telkwa,Telkwa,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,active collar,70,,
LGreene,TC089,TC089,20-1365,Telkwa,Telkwa,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,active collar,70,,
LGreene,TC090,TC090,20-1366,Telkwa,Telkwa,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,active collar,70,,
LGreene,TC004,TC004,20-1367,Telkwa,Telkwa,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,Active collar,70,,
Klaczek,9,NA,20-1328,North Cariboo,North Cariboo,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,,70,,
Klaczek,10,NA,20-1331,North Cariboo,North Cariboo,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,,70,,
Klaczek,11,NA,20-1335,North Cariboo,North Cariboo,F,Adult,2021/01/20,2021/03/31,NA,Alive,NA,,,,70,,
MJF from AMRoberts,TWC1052,TWC1052,19-1587,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/19,2021/03/31,NA,Alive,NA,,,Still alive,377,,
Klaczek,42155,42155,19-1604,Hart North,Parsnip,F,Adult,2020/03/18,2021/03/31,NA,Alive,NA,,,,378,,
Klaczek,42294,42294,19-1605,Hart North,Parsnip,F,Adult,2020/03/18,2021/03/31,NA,Alive,NA,,,,378,,
Klaczek,42296,42296,19-1608,Hart North,Parsnip,F,Adult,2020/03/18,2021/03/31,NA,Alive,NA,,,,378,,
CL-from SMcNay,CN384Ka,CN384Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2020/03/17,2021/03/31,NA,Censored,FADE,,,,379,,
MJF from AMRoberts,TWC1048,TWC1048,19-1585,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/17,2021/03/31,NA,Alive,NA,,,Still alive,379,,
CL-from SMcNay,CN454Ca,CN454Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
CL-from SMcNay,CN455Ca,CN455Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
CL-from SMcNay,CN456Ca,CN456Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
CL-from SMcNay,CN457Ca,CN457Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
CL-from SMcNay,CN458Ca,CN458Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
CL-from SMcNay,CN459Ca,CN459Ca,NA,Chase,Chase,F,Adult,2020/03/16,2021/03/31,NA,Censored,FADE,,,,380,,
Rob S,,,19-3386,Columbia South,Columbia South,F,Adult,2020/03/15,2021/01/13,2021/01/13,Mortality,wolverine,,,,304,,
CL-from SMcNay,CN374Sa,CN374Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2020/03/14,2021/03/31,NA,Censored,FADE,,,,382,,
CL-from SMcNay,CN453Ka,CN453Ka,NA,Klinse-Za,Klinse-Za,F,Adult,2020/03/11,2021/03/31,NA,Censored,FADE,,,,385,,
MJF from AMRoberts,TWC1044,TWC1044,19-1592,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/10,2020/04/20,2020/04/20,Mortality,possible wolf,,,,41,,
MJF from AMRoberts,TWC1061,TWC1061,19-1586,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/09,2021/03/31,NA,Alive,NA,,,Still alive,387,,
MJF from AMRoberts,TWC1053,TWC1053,19-1582,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/07,2021/03/31,NA,Alive,NA,,,Still alive,389,,
MJF from AMRoberts,TWC1056,TWC1056,19-1589,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/07,2021/03/31,NA,Alive,NA,,,Still alive,389,,
MJF from AMRoberts,TWC1041,TWC1041,19-1584,Tweedsmuir,Tweedsmuir,F,Adult,2020/03/07,2021/03/08,2021/03/12,Mortality,Wolverine,,,,366,,
,1,NA,15-7322,Quintette,Quintette,F,Adult,2020/03/06,2021/03/31,NA,Alive,NA,,,Recapture,390,,
,16,PEA-005,18-13089,Quintette,Quintette,F,Adult,2020/03/06,2021/03/31,NA,Alive,NA,,,Recapture,390,Note: Animal ID entered by BM,
,23,NA,19-1756,Quintette,Quintette,F,Adult,2020/03/06,2021/03/31,NA,Alive,NA,,,,390,,
,26,NA,19-1762,Quintette,Quintette,F,Adult,2020/03/06,2021/03/31,NA,Alive,NA,,,,390,,
,13,PEA-020,18-13086,Quintette,Quintette,F,Adult,2020/03/05,2021/03/31,NA,Alive,NA,,,Recapture,391,Note: Animal ID entered by BM,
,18,PEA-007,18-13091,Quintette,Quintette,F,Adult,2020/03/05,2021/03/31,NA,Alive,NA,,,Recapture,391,Note: Animal ID entered by BM,
,24,NA,19-1758,Quintette,Quintette,F,Adult,2020/03/05,2021/03/31,NA,Alive,NA,,,,391,,
MJF from AMRoberts,TWC1057,TWC1057,19-1581,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/29,2021/03/31,NA,Alive,NA,,,Still alive,396,,
MJF from AMRoberts,TWC1059,TWC1059,19-1583,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/28,2021/03/31,NA,Alive,NA,,,Still alive,397,,
Klaczek,42137,42137,19-1606,North Cariboo,North Cariboo,F,Adult,2020/02/22,2021/03/31,NA,Alive,NA,,,,403,,
Klaczek,42139,42139,19-1597,North Cariboo,North Cariboo,F,Adult,2020/02/22,2021/03/31,NA,Alive,NA,,,,403,,
Klaczek,42156,42156,19-1598,North Cariboo,North Cariboo,F,Adult,2020/02/22,2021/03/31,NA,Alive,NA,,,,403,,
Klaczek,42159,42159,19-1607,North Cariboo,North Cariboo,F,Adult,2020/02/22,2021/03/31,NA,Alive,NA,,,,403,,
Klaczek,42141,42141,19-1599,Hart North,Parsnip,F,Adult,2020/02/22,2021/03/31,NA,Alive,NA,,,old white VHF recapture - 151.341/17105,403,,
Klaczek,42144,42144,19-1601,North Cariboo,North Cariboo,F,Adult,2020/02/22,2020/09/09,2020/09/09,Mortality,grizzly bear,,,,200,,
Klaczek,42142,42142,19-1602,Hart South,Hart South,F,Adult,2020/02/20,2021/03/31,NA,Alive,NA,,,,405,,
MJF from AMRoberts,TWC1058,TWC1058,19-1590,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/19,2021/03/31,NA,Alive,NA,,,Still alive,406,,
Klaczek,42158,42158,19-1603,Hart South,Hart South,F,Adult,2020/02/19,2020/09/01,NA,Alive,NA,,,,195,,
Klaczek,42295,42295,19-1600,Hart North,Parsnip,F,Adult,2020/02/18,2021/03/31,NA,Alive,NA,,,"based on movement - died around March 18, 2021. Collar in mort mode in mid April and invesigation conducted 27 April 2021",407,,
Carolyn Shores,44C,44,17-10771,Itcha-Ilgachuz,Itcha-Ilgachuz,M,Adult,2020/02/15,2021/03/31,NA,Alive,NA,,,Recollared Individual. Previous Collar ID 101882 // BM: We don't have data for the first collaring period for this individual as far as I can tell - no data for 101882.,410,,
MJF from AMRoberts,TWC1055,TWC1055,19-1588,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/15,2021/03/31,NA,Alive,NA,,,Still alive,410,,
Carolyn Shores,72,72,19-3362,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/15,2020/04/13,2020/04/13,Mortality,Wolf Predation,,,,58,,
Carolyn Shores,74,74,19-3363,Itcha-Ilgachuz,Itcha-Ilgachuz,M,Adult,2020/02/14,2021/03/31,NA,Alive,NA,,,,411,,
Carolyn Shores,73,73,19-3364,Itcha-Ilgachuz,Itcha-Ilgachuz,M,Adult,2020/02/14,2021/03/31,NA,Alive,NA,,,,411,,
MJF from AMRoberts,TWC1054,TWC1054,19-1591,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/14,2021/03/31,NA,Alive,NA,,,Still alive,411,,
MJF from AMRoberts,TWC1060,TWC1060,19-1593,Tweedsmuir,Tweedsmuir,F,Adult,2020/02/14,2021/03/08,2021/03/05,Mortality,Wolverine,,,,388,,
Carolyn Shores,68,68,19-3366,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/13,2021/03/31,NA,Alive,NA,,,,412,,
Carolyn Shores,66,66,19-3367,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/13,2021/03/31,NA,Alive,NA,,,,412,,
Carolyn Shores,75,75,19-1380,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,,413,,
Carolyn Shores,69,69,19-3360,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,,413,,
Carolyn Shores,67,67,19-3365,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,,413,,
Carolyn Shores,70,70,19-3361,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,"Collar failure, seen alive June 2021 survey",413,,
Carolyn Shores,18C,18,17-10787,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,Seen alive in June 2021 survey. Recollared individual. Previous Collar ID 101813,413,,
Carolyn Shores,76,76,19-3368,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,,413,,
Carolyn Shores,79,79,19-1383,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/12,2021/03/31,NA,Alive,NA,,,,413,,
Rob S via Aeron Reid,9,NA,19-3371,Nakusp,Central Selkirks,F,Adult,2020/02/11,2021/03/31,NA,Alive,NA,,,collar sometimes reports as mortality then flips back to normal,414,,
Rob S via Aeron Reid,10,NA,19-3372,Nakusp,Central Selkirks,F,Adult,2020/02/11,2021/03/31,NA,Alive,NA,,,,414,,
Rob S via Aeron Reid,11,NA,19-3373,Nakusp,Central Selkirks,F,Adult,2020/02/11,2021/03/31,NA,Alive,NA,,,,414,,
Rob S via Aeron Reid,13,NA,19-3375,Nakusp,Central Selkirks,F,Adult,2020/02/11,2021/03/31,NA,Alive,NA,,,,414,,
Rob S via Aeron Reid,14,NA,19-3376,Nakusp,Central Selkirks,F,Adult,2020/02/11,2021/03/31,NA,Alive,NA,,,,414,,
Carolyn Shores,77,77,19-3359,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/07,2021/03/31,NA,Alive,NA,,,,418,,
Carolyn Shores,78,78,19-1381,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/07,2021/03/31,NA,Alive,NA,,,"Collar failure, seen alive June 2021 survey",418,,
Carolyn Shores,42154,42154,19-1379,Itcha-Ilgachuz,Itcha-Ilgachuz,F,Adult,2020/02/07,2020/04/27,2020/04/27,Mortality,Probable Wolf Predation,,,"BM: Animal ID was previously ""71"" before CS edited 2020 collar sheet // Mortality came through night of April 27th. Unable to investigate. No road access (washouts from flooding) and no helicopter approvals (COVID restrictions). When we collected the collar the site had been visited by wolves. The carcass had been dragged around and bones were missing. There were wolf scats in the immediate area.",80,,
LGreene,TC086,TC086,19-1595,Telkwa,Telkwa,F,Adult,2020/02/03,2021/03/31,NA,Alive,NA,,,active collar,422,,
LGreene,TC087,TC087,19-1594,Telkwa,Telkwa,F,Adult,2020/02/03,2021/03/31,NA,Alive,NA,,,active collar,422,,
,27,NA,19-2226,Quintette,Quintette,F,Adult,2020/01/28,2021/03/31,NA,Alive,NA,,,,428,,
,28,NA,19-2227,Quintette,Quintette,F,Adult,2020/01/28,2021/03/31,NA,Alive,NA,,,,428,,
,25,NA,19-1760,Quintette,Quintette,F,Adult,2020/01/28,2020/07/12,2020/07/12,Mortality,NA,,,,166,,
Gill / Serrouya,34,34,17-10531,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,94,94,"17-10533
",Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,98,98,17-10651,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,100,100,17-10653,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,95,95,17-10643,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,99,99,17-10652,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,NA,,,wild,730,,
Gill / Serrouya,26,26,2018-14,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,NA,Alive,,,,wild,730,,
Gill / Serrouya,62,62,2018-15,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,,Alive,,,,wild,730,,
Gill / Serrouya,96,96,17-10645,Columbia North,Columbia North,F,Adult,2019/04/01,2021/03/31,,Alive,,,,wild,730,,
Gill / Serrouya,8,8,17-10641,Columbia North,Columbia North,F,Adult,2019/04/01,2020/12/20,,Censored,,,,wild,629,,
Gill / Serrouya,23,23,,Columbia North,Columbia North,F,Adult,2019/04/01,2020/05/02,2020/05/02,Mortality,Wolverine,,,wild,397,,
Gill / Serrouya,3,3,,Columbia North,Columbia North,F,Adult,2019/04/01,2019/12/15,,Censored,,,,wild,258,,
Gill / Serrouya,30,30,,Columbia North,Columbia North,F,Adult,2019/04/01,2019/09/23,,Censored,,,,wild,175,,
Gill / Serrouya,14,14,,Columbia North,Columbia North,F,Adult,2019/04/01,2019/09/03,,Censored,,,,wild,155,,
CL-from SMcNay,CN434Sa,CN434Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2019/03/28,2021/03/31,NA,Censored,FADE,,,,734,,
CL-from SMcNay,CN435Sa,CN435Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2019/03/28,2021/03/31,NA,Censored,FADE,,,,734,,
CL-from SMcNay,CN433Sa,CN433Sa,NA,Klinse-Za,Klinse-Za,F,Adult,2019/03/28,2020/01/07,2020/01/07,Mortality,DEAD,,,,285,,
Kevin Watt,10,NA,18-14003,Graham,Graham,F,Adult,2019/03/26,2021/03/31,NA,Alive,NA,,,,736,,
Kevin Watt,9,NA,18-13997,Graham,Graham,F,Adult,2019/03/26,2021/03/31,NA,Alive,NA,,,,736,,
Kevin Watt,11,NA,18-14004,Graham,Graham,F,Adult,2019/03/26,2020/09/14,NA,Censored,NA,,,"Last heard during July 31, 2020 VHF flight  not heard during Oct. 2020 VHF flight or March 2021 Survey, censored at midpoint between July and Oct. VHF flights",538,,
Kevin Watt,8,NA,18-13995,Graham,Graham,F,Adult,2019/03/25,2021/03/31,NA,Alive,NA,,,,737,,
Kevin Watt,12,NA,18-14005,Graham,Graham,F,Adult,2019/03/25,2021/03/31,NA,Alive,NA,,,Detected during March 2022 survey,737,,
,20,NA,18-13985,Quintette,Quintette,F,Adult,2019/03/25,2021/03/31,NA,Alive,NA,,,,737,,
,22,NA,18-13991,Quintette,Quintette,F,Adult,2019/03/25,2021/03/31,NA,Alive,NA,,,,737,,
